ORF	YF_GENE	OF_GENE
YDL070W	BDF2	BDF2
YDL071C	YDL071C	YDL071C
YDL072C	YET3	YET3
YDL073W	AHK1	AHK1
YDL074C	BRE1	BRE1
YDL075W	RPL31A	RPL31A
YDL076C	RXT3	RXT3
YDL077C	VAM6	VAM6
YDL078C	MDH3	MDH3
YDL079C	MRK1	MRK1
YDL080C	THI3	THI3
YDL081C	RPP1A	RPP1A
YDL082W	RPL13A	RPL13A
YDL083C	RPS16B	RPS16B
YDL084W	SUB2	SUB2
YDL085C-A	YDL085C-A	YDL085C-A
YDL085W	NDE2	NDE2
YDL086C-A	NA	YDL086C-A
YDL086W	YDL086W	YDL086W
YDL087C	LUC7	LUC7
YDL088C	ASM4	ASM4
YDL089W	NUR1	NUR1
YDL090C	RAM1	RAM1
YDL091C	UBX3	UBX3
YDL092W	SRP14	SRP14
YDL093W	PMT5	PMT5
YDL094C	YDL094C	YDL094C
YDL095W	PMT1	PMT1
YDL096C	YDL096C	OPI6
YDL097C	RPN6	RPN6
YDL098C	SNU23	SNU23
YDL099W	BUG1	BUG1
YDL100C	GET3	GET3
YDL101C	DUN1	DUN1
YDL102W	POL3	POL3
YDL103C	QRI1	QRI1
YDL104C	QRI7	QRI7
YDL105W	NSE4	NSE4
YDL106C	PHO2	PHO2
YDL107W	MSS2	MSS2
YDL108W	KIN28	KIN28
YDL109C	YDL109C	YDL109C
YDL110C	TMA17	TMA17
YDL111C	RRP42	RRP42
YDL112W	TRM3	TRM3
YDL113C	ATG20	ATG20
YDL114W	YDL114W	YDL114W
YDL114W-A	YDL114W-A	YDL114W-A
YDL115C	IWR1	IWR1
YDL116W	NUP84	NUP84
YDL117W	CYK3	CYK3
YDL118W	YDL118W	YDL118W
YDL119C	HEM25	HEM25
YDL120W	YFH1	YFH1
YDL121C	EXP1	YDL121C
YDL122W	UBP1	UBP1
YDL123W	SNA4	SNA4
YDL124W	YDL124W	YDL124W
YDL125C	HNT1	HNT1
YDL126C	CDC48	CDC48
YDL127W	PCL2	PCL2
YDL128W	VCX1	VCX1
YDL129W	YDL129W	YDL129W
YDL130W	RPP1B	RPP1B
YDL130W-A	STF1	STF1
YDL131W	LYS21	LYS21
YDL132W	CDC53	CDC53
YDL133C-A	RPL41B	RPL41B
YDL133W	SRF1	SRF1
YDL134C	PPH21	PPH21
YDL135C	RDI1	RDI1
YDL136W	RPL35B	RPL35B
YDL137W	ARF2	ARF2
YDL138W	RGT2	RGT2
YDL139C	SCM3	SCM3
YDL140C	RPO21	RPO21
YDL141W	BPL1	BPL1
YDL142C	CRD1	CRD1
YDL143W	CCT4	CCT4
YDL144C	YDL144C	YDL144C
YDL145C	COP1	COP1
YDL146W	LDB17	LDB17
YDL147W	RPN5	RPN5
YDL148C	NOP14	NOP14
YDL149W	ATG9	ATG9
YDL150W	RPC53	RPC53
YDL151C	BUD30	BUD30
YDL152W	YDL152W	YDL152W
YDL153C	SAS10	SAS10
YDL154W	MSH5	MSH5
YDL155W	CLB3	CLB3
YDL156W	CMR1	CMR1
YDL157C	YDL157C	YDL157C
YDL158C	YDL158C	YDL158C
YDL159C-B	NA	YDL159C-B
YDL159W	STE7	STE7
YDL159W-A	YDL159W-A	YDL159W-A
YDL160C	DHH1	DHH1
YDL160C-A	MHF2	MHF2
YDL161W	ENT1	ENT1
YDL162C	YDL162C	YDL162C
YDL163W	YDL163W	YDL163W
YDL164C	CDC9	CDC9
YDL165W	CDC36	CDC36
YDL166C	FAP7	FAP7
YDL167C	NRP1	NRP1
YDL168W	SFA1	SFA1
YDL169C	UGX2	UGX2
YDL170W	UGA3	UGA3
YDL171C	GLT1	GLT1
YDL172C	YDL172C	YDL172C
YDL173W	PAR32	PAR32
YDL174C	DLD1	DLD1
YDL175C	AIR2	AIR2
YDL176W	IPF1	YDL176W
YDL177C	YDL177C	YDL177C
YDL178W	DLD2	DLD2
YDL179W	PCL9	PCL9
YDL180W	YDL180W	YDL180W
YDL181W	INH1	INH1
YDL182W	LYS20	LYS20
YDL183C	MRX19	YDL183C
YDL184C	RPL41A	RPL41A
YDL185C-A	YDL185C-A	YDL185C-A
YDL185W	VMA1	VMA1
YDL186W	YDL186W	YDL186W
YDL187C	YDL187C	YDL187C
YDL188C	PPH22	PPH22
YDL189W	RBS1	RBS1
YDL190C	UFD2	UFD2
YDL191W	RPL35A	RPL35A
YDL192W	ARF1	ARF1
YDL193W	NUS1	NUS1
YDL194W	SNF3	SNF3
YDL195W	SEC31	SEC31
YDL196W	YDL196W	YDL196W
YDL197C	ASF2	ASF2
YDL198C	GGC1	GGC1
YDL199C	YDL199C	YDL199C
YDL200C	MGT1	MGT1
YDL201W	TRM8	TRM8
YDL202W	MRPL11	MRPL11
YDL203C	ACK1	ACK1
YDL204W	RTN2	RTN2
YDL205C	HEM3	HEM3
YDL206W	YDL206W	YDL206W
YDL207W	GLE1	GLE1
YDL208W	NHP2	NHP2
YDL209C	CWC2	CWC2
YDL210W	UGA4	UGA4
YDL211C	YDL211C	YDL211C
YDL212W	SHR3	SHR3
YDL213C	NOP6	NOP6
YDL214C	PRR2	PRR2
YDL215C	GDH2	GDH2
YDL216C	RRI1	RRI1
YDL217C	TIM22	TIM22
YDL218W	YDL218W	YDL218W
YDL219W	DTD1	DTD1
YDL220C	CDC13	CDC13
YDL221W	YDL221W	YDL221W
YDL222C	FMP45	FMP45
YDL223C	HBT1	HBT1
YDL224C	WHI4	WHI4
YDL225W	SHS1	SHS1
YDL226C	GCS1	GCS1
YDL227C	HO	HO
YDL228C	YDL228C	YDL228C
YDL229W	SSB1	SSB1
YDL230W	PTP1	PTP1
YDL231C	BRE4	BRE4
YDL232W	OST4	OST4
YDL233W	MFG1	MFG1
YDL234C	GYP7	GYP7
YDL235C	YPD1	YPD1
YDL236W	PHO13	PHO13
YDL237W	AIM6	AIM6
YDL238C	GUD1	GUD1
YDL239C	ADY3	ADY3
YDL240C-A	YDL240C-A	YDL240C-A
YDL240W	LRG1	LRG1
YDL241W	YDL241W	YDL241W
YDL242W	YDL242W	YDL242W
YDL243C	AAD4	AAD4
YDL244W	THI13	THI13
YDL245C	HXT15	HXT15
YDL246C	SOR2	SOR2
YDL247W	MPH2	MPH2
YDL247W-A	YDL247W-A	YDL247W-A
YDL248W	COS7	COS7
YDR001C	NTH1	NTH1
YDR002W	YRB1	YRB1
YDR003W	RCR2	RCR2
YDR003W-A	YDR003W-A	YDR003W-A
YDR004W	RAD57	RAD57
YDR005C	MAF1	MAF1
YDR006C	SOK1	SOK1
YDR007W	TRP1	TRP1
YDR008C	YDR008C	YDR008C
YDR009W	GAL3	GAL3
YDR010C	YDR010C	YDR010C
YDR011W	SNQ2	SNQ2
YDR012W	RPL4B	RPL4B
YDR013W	PSF1	PSF1
YDR014W	RAD61	RAD61
YDR014W-A	HED1	HED1
YDR015C	YDR015C	YDR015C
YDR016C	DAD1	DAD1
YDR017C	KCS1	KCS1
YDR018C	YDR018C	YDR018C
YDR019C	GCV1	GCV1
YDR020C	DAS2	DAS2
YDR021W	FAL1	FAL1
YDR022C	ATG31	ATG31
YDR023W	SES1	SES1
YDR024W	FYV1	FYV1
YDR025W	RPS11A	RPS11A
YDR026C	NSI1	NSI1
YDR027C	VPS54	VPS54
YDR028C	REG1	REG1
YDR029W	YDR029W	YDR029W
YDR030C	RAD28	RAD28
YDR031W	MIX14	MIX14
YDR032C	PST2	PST2
YDR033W	MRH1	MRH1
YDR034C	LYS14	LYS14
YDR034C-A	YDR034C-A	YDR034C-A
YDR034W-B	YDR034W-B	YDR034W-B
YDR035W	ARO3	ARO3
YDR036C	EHD3	EHD3
YDR037W	KRS1	KRS1
YDR038C	ENA5	ENA5
YDR039C	ENA2	ENA2
YDR040C	ENA1	ENA1
YDR041W	RSM10	RSM10
YDR042C	YDR042C	YDR042C
YDR043C	NRG1	NRG1
YDR044W	HEM13	HEM13
YDR045C	RPC11	RPC11
YDR046C	BAP3	BAP3
YDR047W	HEM12	HEM12
YDR048C	YDR048C	YDR048C
YDR049W	VMS1	VMS1
YDR050C	TPI1	TPI1
YDR051C	DET1	DET1
YDR052C	DBF4	DBF4
YDR053W	YDR053W	YDR053W
YDR054C	CDC34	CDC34
YDR055W	PST1	PST1
YDR056C	EMC10	EMC10
YDR057W	YOS9	YOS9
YDR058C	TGL2	TGL2
YDR059C	UBC5	UBC5
YDR060W	MAK21	MAK21
YDR061W	YDR061W	YDR061W
YDR062W	LCB2	LCB2
YDR063W	AIM7	AIM7
YDR064W	RPS13	RPS13
YDR065W	RRG1	RRG1
YDR066C	RTR2	RTR2
YDR067C	OCA6	OCA6
YDR068W	DOS2	DOS2
YDR069C	DOA4	DOA4
YDR070C	FMP16	FMP16
YDR071C	PAA1	PAA1
YDR072C	IPT1	IPT1
YDR073W	SNF11	SNF11
YDR074W	TPS2	TPS2
YDR075W	PPH3	PPH3
YDR076W	RAD55	RAD55
YDR077W	SED1	SED1
YDR078C	SHU2	SHU2
YDR079C-A	TFB5	TFB5
YDR079W	PET100	PET100
YDR080W	VPS41	VPS41
YDR081C	PDC2	PDC2
YDR082W	STN1	STN1
YDR083W	RRP8	RRP8
YDR084C	TVP23	TVP23
YDR085C	AFR1	AFR1
YDR086C	SSS1	SSS1
YDR087C	RRP1	RRP1
YDR088C	SLU7	SLU7
YDR089W	VTC5	VTC5
YDR090C	ILT1	YDR090C
YDR091C	RLI1	RLI1
YDR092W	UBC13	UBC13
YDR093W	DNF2	DNF2
YDR094W	YDR094W	YDR094W
YDR095C	YDR095C	YDR095C
YDR096W	GIS1	GIS1
YDR097C	MSH6	MSH6
YDR098C	GRX3	GRX3
YDR099W	BMH2	BMH2
YDR100W	TVP15	TVP15
YDR101C	ARX1	ARX1
YDR102C	YDR102C	YDR102C
YDR103W	STE5	STE5
YDR104C	SPO71	SPO71
YDR105C	TMS1	TMS1
YDR106W	ARP10	ARP10
YDR107C	TMN2	TMN2
YDR108W	TRS85	TRS85
YDR109C	YDR109C	YDR109C
YDR110W	FOB1	FOB1
YDR111C	ALT2	ALT2
YDR112W	YDR112W	IRC2
YDR113C	PDS1	PDS1
YDR114C	YDR114C	YDR114C
YDR115W	MRX14	MRX14
YDR116C	MRPL1	MRPL1
YDR117C	TMA64	TMA64
YDR118W	APC4	APC4
YDR118W-A	NA	YDR118W-A
YDR119W	VBA4	VBA4
YDR119W-A	COX26	COX26
YDR120C	TRM1	TRM1
YDR121W	DPB4	DPB4
YDR122W	KIN1	KIN1
YDR123C	INO2	INO2
YDR124W	YDR124W	YDR124W
YDR125C	ECM18	ECM18
YDR126W	SWF1	SWF1
YDR127W	ARO1	ARO1
YDR128W	MTC5	MTC5
YDR129C	SAC6	SAC6
YDR130C	FIN1	FIN1
YDR131C	YDR131C	YDR131C
YDR132C	MRX16	YDR132C
YDR133C	YDR133C	YDR133C
YDR135C	YCF1	YCF1
YDR136C	VPS61	VPS61
YDR137W	RGP1	RGP1
YDR138W	HPR1	HPR1
YDR139C	RUB1	RUB1
YDR140W	MTQ2	MTQ2
YDR141C	DOP1	DOP1
YDR142C	PEX7	PEX7
YDR143C	SAN1	SAN1
YDR144C	MKC7	MKC7
YDR145W	TAF12	TAF12
YDR146C	SWI5	SWI5
YDR147W	EKI1	EKI1
YDR148C	KGD2	KGD2
YDR149C	YDR149C	YDR149C
YDR150W	NUM1	NUM1
YDR151C	CTH1	CTH1
YDR152W	GIR2	GIR2
YDR153C	ENT5	ENT5
YDR154C	YDR154C	YDR154C
YDR155C	CPR1	CPR1
YDR156W	RPA14	RPA14
YDR157W	YDR157W	YDR157W
YDR158W	HOM2	HOM2
YDR159W	SAC3	SAC3
YDR160W	SSY1	SSY1
YDR161W	ACL4	ACL4
YDR162C	NBP2	NBP2
YDR163W	CWC15	CWC15
YDR164C	SEC1	SEC1
YDR165W	TRM82	TRM82
YDR166C	SEC5	SEC5
YDR167W	TAF10	TAF10
YDR168W	CDC37	CDC37
YDR169C	STB3	STB3
YDR169C-A	YDR169C-A	YDR169C-A
YDR170C	SEC7	SEC7
YDR171W	HSP42	HSP42
YDR172W	SUP35	SUP35
YDR173C	ARG82	ARG82
YDR174W	HMO1	HMO1
YDR175C	RSM24	RSM24
YDR176W	NGG1	NGG1
YDR177W	UBC1	UBC1
YDR178W	SDH4	SDH4
YDR179C	CSN9	CSN9
YDR179W-A	NVJ3	NVJ3
YDR180W	SCC2	SCC2
YDR181C	SAS4	SAS4
YDR182W	CDC1	CDC1
YDR182W-A	YDR182W-A	YDR182W-A
YDR183C-A	NA	YDR183C-A
YDR183W	PLP1	PLP1
YDR184C	ATC1	ATC1
YDR185C	UPS3	UPS3
YDR186C	SND1	SND1
YDR187C	YDR187C	YDR187C
YDR188W	CCT6	CCT6
YDR189W	SLY1	SLY1
YDR190C	RVB1	RVB1
YDR191W	HST4	HST4
YDR192C	NUP42	NUP42
YDR193W	YDR193W	YDR193W
YDR194C	MSS116	MSS116
YDR194W-A	YDR194W-A	YDR194W-A
YDR195W	REF2	REF2
YDR196C	CAB5	CAB5
YDR197W	CBS2	CBS2
YDR198C	RKM2	RKM2
YDR199W	YDR199W	YDR199W
YDR200C	VPS64	VPS64
YDR201W	SPC19	SPC19
YDR202C	RAV2	RAV2
YDR203W	YDR203W	YDR203W
YDR204W	COQ4	COQ4
YDR205W	MSC2	MSC2
YDR206W	EBS1	EBS1
YDR207C	UME6	UME6
YDR208W	MSS4	MSS4
YDR209C	YDR209C	YDR209C
YDR210W	YDR210W	YDR210W
YDR211W	GCD6	GCD6
YDR212W	TCP1	TCP1
YDR213W	UPC2	UPC2
YDR214W	AHA1	AHA1
YDR215C	YDR215C	YDR215C
YDR216W	ADR1	ADR1
YDR217C	RAD9	RAD9
YDR218C	SPR28	SPR28
YDR219C	MFB1	MFB1
YDR220C	YDR220C	YDR220C
YDR221W	GTB1	GTB1
YDR222W	YDR222W	YDR222W
YDR223W	CRF1	CRF1
YDR224C	HTB1	HTB1
YDR225W	HTA1	HTA1
YDR226W	ADK1	ADK1
YDR227W	SIR4	SIR4
YDR228C	PCF11	PCF11
YDR229W	IVY1	IVY1
YDR230W	YDR230W	YDR230W
YDR231C	COX20	COX20
YDR232W	HEM1	HEM1
YDR233C	RTN1	RTN1
YDR234W	LYS4	LYS4
YDR235W	PRP42	PRP42
YDR236C	FMN1	FMN1
YDR237W	MRPL7	MRPL7
YDR238C	SEC26	SEC26
YDR239C	YDR239C	YDR239C
YDR240C	SNU56	SNU56
YDR241W	BUD26	BUD26
YDR242W	AMD2	AMD2
YDR243C	PRP28	PRP28
YDR244W	PEX5	PEX5
YDR245W	MNN10	MNN10
YDR246W	TRS23	TRS23
YDR246W-A	YDR246W-A	YDR246W-A
YDR247W	VHS1	VHS1
YDR248C	YDR248C	YDR248C
YDR249C	YDR249C	YDR249C
YDR250C	YDR250C	YDR250C
YDR251W	PAM1	PAM1
YDR252W	BTT1	BTT1
YDR253C	MET32	MET32
YDR254W	CHL4	CHL4
YDR255C	RMD5	RMD5
YDR256C	CTA1	CTA1
YDR257C	RKM4	RKM4
YDR258C	HSP78	HSP78
YDR259C	YAP6	YAP6
YDR260C	SWM1	SWM1
YDR261C	EXG2	EXG2
YDR262W	YDR262W	YDR262W
YDR263C	DIN7	DIN7
YDR264C	AKR1	AKR1
YDR265W	PEX10	PEX10
YDR266C	HEL2	HEL2
YDR267C	CIA1	CIA1
YDR268W	MSW1	MSW1
YDR269C	YDR269C	YDR269C
YDR270W	CCC2	CCC2
YDR271C	YDR271C	YDR271C
YDR272W	GLO2	GLO2
YDR273W	DON1	DON1
YDR274C	YDR274C	YDR274C
YDR275W	BSC2	BSC2
YDR276C	PMP3	PMP3
YDR277C	MTH1	MTH1
YDR278C	YDR278C	YDR278C
YDR279W	RNH202	RNH202
YDR280W	RRP45	RRP45
YDR281C	PHM6	PHM6
YDR282C	MRX10	MRX10
YDR283C	GCN2	GCN2
YDR284C	DPP1	DPP1
YDR285W	ZIP1	ZIP1
YDR286C	MGP12	YDR286C
YDR287W	INM2	INM2
YDR288W	NSE3	NSE3
YDR289C	RTT103	RTT103
YDR290W	YDR290W	YDR290W
YDR291W	HRQ1	HRQ1
YDR292C	SRP101	SRP101
YDR293C	SSD1	SSD1
YDR294C	DPL1	DPL1
YDR295C	HDA2	HDA2
YDR296W	MHR1	MHR1
YDR297W	SUR2	SUR2
YDR298C	ATP5	ATP5
YDR299W	BFR2	BFR2
YDR300C	PRO1	PRO1
YDR301W	CFT1	CFT1
YDR302W	GPI11	GPI11
YDR303C	RSC3	RSC3
YDR304C	CPR5	CPR5
YDR305C	HNT2	HNT2
YDR306C	PFU1	YDR306C
YDR307W	PMT7	PMT7
YDR308C	SRB7	SRB7
YDR309C	GIC2	GIC2
YDR310C	SUM1	SUM1
YDR311W	TFB1	TFB1
YDR312W	SSF2	SSF2
YDR313C	PIB1	PIB1
YDR314C	RAD34	RAD34
YDR315C	IPK1	IPK1
YDR316W	OMS1	OMS1
YDR317W	HIM1	HIM1
YDR318W	MCM21	MCM21
YDR319C	YFT2	YFT2
YDR320C	SWA2	SWA2
YDR320C-A	DAD4	DAD4
YDR320W-B	NA	YDR320W-B
YDR321W	ASP1	ASP1
YDR322C-A	TIM11	TIM11
YDR322W	MRPL35	MRPL35
YDR323C	PEP7	PEP7
YDR324C	UTP4	UTP4
YDR325W	YCG1	YCG1
YDR326C	YSP2	YSP2
YDR327W	YDR327W	YDR327W
YDR328C	SKP1	SKP1
YDR329C	PEX3	PEX3
YDR330W	UBX5	UBX5
YDR331W	GPI8	GPI8
YDR332W	IRC3	IRC3
YDR333C	RQC1	RQC1
YDR334W	SWR1	SWR1
YDR335W	MSN5	MSN5
YDR336W	MRX8	MRX8
YDR337W	MRPS28	MRPS28
YDR338C	YDR338C	YDR338C
YDR339C	FCF1	FCF1
YDR340W	YDR340W	YDR340W
YDR341C	YDR341C	YDR341C
YDR342C	HXT7	HXT7
YDR343C	HXT6	HXT6
YDR344C	YDR344C	YDR344C
YDR345C	HXT3	HXT3
YDR346C	SVF1	SVF1
YDR347W	MRP1	MRP1
YDR348C	PAL1	PAL1
YDR349C	YPS7	YPS7
YDR350C	ATP22	ATP22
YDR351W	SBE2	SBE2
YDR352W	YPQ2	YPQ2
YDR353W	TRR1	TRR1
YDR354C-A	NA	YDR354C-A
YDR354W	TRP4	TRP4
YDR355C	YDR355C	YDR355C
YDR356W	SPC110	SPC110
YDR357C	CNL1	CNL1
YDR358W	GGA1	GGA1
YDR359C	EAF1	EAF1
YDR360W	YDR360W	OPI7
YDR361C	BCP1	BCP1
YDR362C	TFC6	TFC6
YDR363W	ESC2	ESC2
YDR363W-A	SEM1	SEM1
YDR364C	CDC40	CDC40
YDR365C	ESF1	ESF1
YDR366C	MOR1	YDR366C
YDR367W	KEI1	KEI1
YDR368W	YPR1	YPR1
YDR369C	XRS2	XRS2
YDR370C	DXO1	DXO1
YDR371C-A	NA	YDR371C-A
YDR371W	CTS2	CTS2
YDR372C	VPS74	VPS74
YDR373W	FRQ1	FRQ1
YDR374C	PHO92	PHO92
YDR374W-A	WIP1	WIP1
YDR375C	BCS1	BCS1
YDR376W	ARH1	ARH1
YDR377W	ATP17	ATP17
YDR378C	LSM6	LSM6
YDR379C-A	SDH6	SDH6
YDR379W	RGA2	RGA2
YDR380W	ARO10	ARO10
YDR381C-A	COI1	YDR381C-A
YDR381W	YRA1	YRA1
YDR382W	RPP2B	RPP2B
YDR383C	NKP1	NKP1
YDR384C	ATO3	ATO3
YDR385W	EFT2	EFT2
YDR386W	MUS81	MUS81
YDR387C	CIN10	CIN10
YDR388W	RVS167	RVS167
YDR389W	SAC7	SAC7
YDR390C	UBA2	UBA2
YDR391C	YDR391C	YDR391C
YDR392W	SPT3	SPT3
YDR393W	SHE9	SHE9
YDR394W	RPT3	RPT3
YDR395W	SXM1	SXM1
YDR396W	YDR396W	YDR396W
YDR397C	NCB2	NCB2
YDR398W	UTP5	UTP5
YDR399W	HPT1	HPT1
YDR400W	URH1	URH1
YDR401W	YDR401W	YDR401W
YDR402C	DIT2	DIT2
YDR403W	DIT1	DIT1
YDR404C	RPB7	RPB7
YDR405W	MRP20	MRP20
YDR406W	PDR15	PDR15
YDR406W-A	NA	YDR406W-A
YDR407C	TRS120	TRS120
YDR408C	ADE8	ADE8
YDR409W	SIZ1	SIZ1
YDR410C	STE14	STE14
YDR411C	DFM1	DFM1
YDR412W	RRP17	RRP17
YDR413C	YDR413C	YDR413C
YDR414C	ERD1	ERD1
YDR415C	YDR415C	YDR415C
YDR416W	SYF1	SYF1
YDR417C	YDR417C	YDR417C
YDR418W	RPL12B	RPL12B
YDR419W	RAD30	RAD30
YDR420W	HKR1	HKR1
YDR421W	ARO80	ARO80
YDR422C	SIP1	SIP1
YDR423C	CAD1	CAD1
YDR424C	DYN2	DYN2
YDR425W	SNX41	SNX41
YDR426C	YDR426C	YDR426C
YDR427W	RPN9	RPN9
YDR428C	BNA7	BNA7
YDR429C	TIF35	TIF35
YDR430C	CYM1	CYM1
YDR431W	YDR431W	YDR431W
YDR432W	NPL3	NPL3
YDR433W	YDR433W	YDR433W
YDR434W	GPI17	GPI17
YDR435C	PPM1	PPM1
YDR436W	PPZ2	PPZ2
YDR437W	GPI19	GPI19
YDR438W	THI74	THI74
YDR439W	LRS4	LRS4
YDR440W	DOT1	DOT1
YDR441C	APT2	APT2
YDR442W	YDR442W	YDR442W
YDR443C	SSN2	SSN2
YDR444W	YDR444W	YDR444W
YDR445C	YDR445C	YDR445C
YDR446W	ECM11	ECM11
YDR447C	RPS17B	RPS17B
YDR448W	ADA2	ADA2
YDR449C	UTP6	UTP6
YDR450W	RPS18A	RPS18A
YDR451C	YHP1	YHP1
YDR452W	PPN1	PPN1
YDR453C	TSA2	TSA2
YDR454C	GUK1	GUK1
YDR455C	YDR455C	YDR455C
YDR456W	NHX1	NHX1
YDR457W	TOM1	TOM1
YDR458C	HEH2	HEH2
YDR459C	PFA5	PFA5
YDR460W	TFB3	TFB3
YDR461C-A	CMI8	YDR461C-A
YDR461W	MFA1	MFA1
YDR462W	MRPL28	MRPL28
YDR463W	STP1	STP1
YDR464C-A	NA	YDR464C-A
YDR464W	SPP41	SPP41
YDR465C	RMT2	RMT2
YDR466W	PKH3	PKH3
YDR467C	YDR467C	YDR467C
YDR468C	TLG1	TLG1
YDR469W	SDC1	SDC1
YDR470C	UGO1	UGO1
YDR471W	RPL27B	RPL27B
YDR472W	TRS31	TRS31
YDR473C	PRP3	PRP3
YDR475C	JIP4	JIP4
YDR476C	YDR476C	YDR476C
YDR477W	SNF1	SNF1
YDR478W	SNM1	SNM1
YDR479C	PEX29	PEX29
YDR480W	DIG2	DIG2
YDR481C	PHO8	PHO8
YDR482C	CWC21	CWC21
YDR483W	KRE2	KRE2
YDR484W	VPS52	VPS52
YDR485C	VPS72	VPS72
YDR486C	VPS60	VPS60
YDR487C	RIB3	RIB3
YDR488C	PAC11	PAC11
YDR489W	SLD5	SLD5
YDR490C	PKH1	PKH1
YDR491C	YDR491C	YDR491C
YDR492W	IZH1	IZH1
YDR493W	MZM1	MZM1
YDR494W	RSM28	RSM28
YDR495C	VPS3	VPS3
YDR496C	PUF6	PUF6
YDR497C	ITR1	ITR1
YDR498C	SEC20	SEC20
YDR499W	LCD1	LCD1
YDR500C	RPL37B	RPL37B
YDR501W	PLM2	PLM2
YDR502C	SAM2	SAM2
YDR503C	LPP1	LPP1
YDR504C	SPG3	SPG3
YDR505C	PSP1	PSP1
YDR506C	GMC1	GMC1
YDR507C	GIN4	GIN4
YDR508C	GNP1	GNP1
YDR509W	YDR509W	YDR509W
YDR510C-A	NA	YDR510C-A
YDR510W	SMT3	SMT3
YDR511W	SDH7	SDH7
YDR512C	EMI1	EMI1
YDR513W	GRX2	GRX2
YDR514C	YDR514C	YDR514C
YDR515W	SLF1	SLF1
YDR516C	EMI2	EMI2
YDR517W	GRH1	GRH1
YDR518W	EUG1	EUG1
YDR519W	FPR2	FPR2
YDR520C	URC2	URC2
YDR521W	YDR521W	YDR521W
YDR522C	SPS2	SPS2
YDR523C	SPS1	SPS1
YDR524C	AGE1	AGE1
YDR524C-A	NA	YDR524C-A
YDR524C-B	YDR524C-B	YDR524C-B
YDR524W-C	YDR524W-C	YDR524W-C
YDR525W	API2	API2
YDR525W-A	SNA2	SNA2
YDR526C	YDR526C	YDR526C
YDR527W	RBA50	RBA50
YDR528W	HLR1	HLR1
YDR529C	QCR7	QCR7
YDR530C	APA2	APA2
YDR531W	CAB1	CAB1
YDR532C	KRE28	KRE28
YDR533C	HSP31	HSP31
YDR534C	FIT1	FIT1
YDR535C	YDR535C	YDR535C
YDR536W	STL1	STL1
YDR537C	YDR537C	YDR537C
YDR538W	PAD1	PAD1
YDR539W	FDC1	FDC1
YDR540C	IRC4	IRC4
YDR541C	YDR541C	YDR541C
YDR542W	PAU10	PAU10
YDR543C	YDR543C	YDR543C
YDR544C	YDR544C	YDR544C
YDR545C-A	NA	YDR545C-A
YDR545W	YRF1-1	YRF1-1
YEL001C	IRC22	IRC22
YEL002C	WBP1	WBP1
YEL003W	GIM4	GIM4
YEL004W	YEA4	YEA4
YEL005C	VAB2	VAB2
YEL006W	YEA6	YEA6
YEL007W	MIT1	MIT1
YEL008C-A	NA	YEL008C-A
YEL008W	YEL008W	YEL008W
YEL009C	GCN4	GCN4
YEL009C-A	YEL009C-A	YEL009C-A
YEL010W	YEL010W	YEL010W
YEL011W	GLC3	GLC3
YEL012W	UBC8	UBC8
YEL013W	VAC8	VAC8
YEL014C	YEL014C	YEL014C
YEL015W	EDC3	EDC3
YEL016C	NPP2	NPP2
YEL017C-A	PMP2	PMP2
YEL017W	GTT3	GTT3
YEL018C-A	NA	YEL018C-A
YEL018W	EAF5	EAF5
YEL019C	MMS21	MMS21
YEL020C	PXP1	PXP1
YEL020C-B	NA	YEL020C-B
YEL020W-A	TIM9	TIM9
YEL021W	URA3	URA3
YEL022W	GEA2	GEA2
YEL023C	YEL023C	YEL023C
YEL024W	RIP1	RIP1
YEL025C	YEL025C	YEL025C
YEL026W	SNU13	SNU13
YEL027W	VMA3	VMA3
YEL028W	YEL028W	YEL028W
YEL029C	BUD16	BUD16
YEL030C-A	NA	YEL030C-A
YEL030W	ECM10	ECM10
YEL031W	SPF1	SPF1
YEL032C-A	NA	YEL032C-A
YEL032W	MCM3	MCM3
YEL033W	MTC7	MTC7
YEL034C-A	NA	YEL034C-A
YEL034W	HYP2	HYP2
YEL035C	UTR5	UTR5
YEL036C	ANP1	ANP1
YEL037C	RAD23	RAD23
YEL038W	UTR4	UTR4
YEL039C	CYC7	CYC7
YEL040W	UTR2	UTR2
YEL041W	YEF1	YEF1
YEL042W	GDA1	GDA1
YEL043W	GTA1	YEL043W
YEL044W	IES6	IES6
YEL045C	YEL045C	YEL045C
YEL046C	GLY1	GLY1
YEL047C	FRD1	FRD1
YEL048C	TCA17	TCA17
YEL049W	PAU2	PAU2
YEL050C	RML2	RML2
YEL050W-A	NA	YEL050W-A
YEL051W	VMA8	VMA8
YEL052W	AFG1	AFG1
YEL053C	MAK10	MAK10
YEL053W-A	NA	YEL053W-A
YEL054C	RPL12A	RPL12A
YEL055C	POL5	POL5
YEL056W	HAT2	HAT2
YEL057C	SDD1	SDD1
YEL058W	PCM1	PCM1
YEL059C-A	SOM1	SOM1
YEL059W	HHY1	HHY1
YEL060C	PRB1	PRB1
YEL061C	CIN8	CIN8
YEL062W	NPR2	NPR2
YEL063C	CAN1	CAN1
YEL064C	AVT2	AVT2
YEL065W	SIT1	SIT1
YEL066W	HPA3	HPA3
YEL067C	YEL067C	YEL067C
YEL068C	YEL068C	YEL068C
YEL069C	HXT13	HXT13
YEL070W	DSF1	DSF1
YEL071W	DLD3	DLD3
