ID	yeasTSSdb (+/- 100bp)	>10% overlap with predicted UTRs (Nagalakshmi 2008)	chr	db	type	end5	end3	length	strand	gene_id_up	strand_up	up_gene_name	gene_id_down	strand_down	down_gene_name	baseMean_wt	log2FoldChange_wt	TPMs_wt	lfcSE_wt	pvalue_wt	padj_wt	baseMean_kar4	log2FoldChange_kar4	TPMs_kar4	lfcSE_kar4	pvalue_kar4	padj_kar4	Kar4 dependent_kar4	baseMean_ste12	log2FoldChange_ste12	TPMs_ste12	lfcSE_ste12	pvalue_ste12	padj_ste12	Ste12 dependent_ste12	Max(|Log2FC|)_ste12
MSTRG.533	CP_supported		XIV	StringTie	transcript	205038	206753	1715	-	YNL238W	+	KEX2	YNL236W	+	SIN4	335.45	-0.39	2746.90	0.11	1.87E-04	1.41E-03	339.39	-0.35	2847.54	0.11	1.41E-03	5.84E-03		529.69	-0.12	3008.35	0.10	1.58E-01	4.96E-01	Y	0.3915328
MSTRG.145			IX	StringTie	transcript	2295	6948	4653	+	YIL177W-A	+	YIL177W-A	NA	NA	NA	5.41	2.77	12.90	1.26	1.88E-04	1.41E-03	3.40	1.19	9.82	0.86	9.11E-03	2.91E-02		2.11	0.00	4.86	0.25	9.68E-01	1.00E+00	Y	2.77248578
MSTRG.448	CP_supported		XII	StringTie	transcript	230805	231256	451	+	YLR042C	-	YLR042C	YLR043C	-	TRX1	11.62	1.52	308.90	0.57	2.31E-04	1.71E-03	15.29	2.13	339.89	0.48	1.27E-07	1.13E-06		2.35	0.07	55.91	0.26	2.67E-01	1.00E+00	Y	2.13479488
MSTRG.579	CP_supported		XV	StringTie	transcript	16101	16451	350	-	YOL159C-A	-	YOL159C-A	YOL159C	-	CSS3	18.32	1.14	579.05	0.43	2.41E-04	1.76E-03	24.20	0.89	900.71	0.31	5.53E-04	2.55E-03		20.53	-0.02	592.75	0.20	8.35E-01	9.72E-01	Y	1.14480623
MSTRG.600		YOR031W_5UTR	XV	StringTie	transcript	389079	389645	566	+	YOR030W	+	DFG16	YOR032C	-	HMS1	284.62	-0.41	7467.25	0.12	2.46E-04	1.76E-03	288.65	-0.76	6921.26	0.11	4.23E-12	6.29E-11		472.03	-0.34	8081.93	0.10	2.68E-04	8.76E-03		0.755241541
MSTRG.375			X	StringTie	transcript	116019	117100	1081	+	tE(UUC)J	-	tE(UUC)J	YJL161W	+	FMP33	21.48	1.06	261.73	0.40	2.47E-04	1.76E-03	19.34	0.47	232.65	0.30	6.27E-02	1.46E-01	Y	24.53	0.07	224.55	0.19	5.49E-01	8.04E-01	Y	1.06232395
MSTRG.394			X	StringTie	transcript	646571	649505	2934	+	YJR119C	-	JHD2	YJR122W	+	IBA57	9153.71	-0.41	42455.50	0.13	3.06E-04	2.16E-03	8554.73	-0.40	39356.79	0.09	1.51E-05	9.82E-05		14240.15	0.01	48504.87	0.07	8.44E-01	9.74E-01	Y	0.4117455
MSTRG.236	CP_supported		V	StringTie	transcript	567163	567623	460	-	YER187W	+	YER187W	YER188W	+	YER188W	5.03	-2.18	137.50	0.97	3.36E-04	2.35E-03	4.34	-0.45	105.44	0.52	1.72E-01	3.05E-01	Y	11.10	-0.15	195.49	0.23	1.49E-01	4.88E-01	Y	2.1836695
MSTRG.36	CP_supported		II	StringTie	transcript	407570	408127	557	+	YBR082C	-	UBC4	YBR083W	+	TEC1	22.60	-1.05	478.54	0.42	3.90E-04	2.69E-03	17.58	-1.40	395.31	0.40	1.34E-05	8.98E-05		55.80	-0.38	907.99	0.18	3.71E-03	4.71E-02		1.401801658
MSTRG.301			VII	StringTie	transcript	702140	702653	513	+	tK(UUU)G2	-	tK(UUU)G2	YGR107W	+	YGR107W	12.11	1.32	309.88	0.54	4.40E-04	3.01E-03	19.72	1.20	406.51	0.37	4.75E-05	2.85E-04		7.51	-0.01	123.16	0.23	9.40E-01	1.00E+00	Y	1.3227506
MSTRG.244			VI	StringTie	transcript	28408	28921	513	-	YFL052W	+	ZNF1	YFL051C	-	YFL051C	14.06	-1.27	274.58	0.52	4.62E-04	3.12E-03	13.88	-0.20	352.92	0.33	4.60E-01	6.20E-01	Y	41.85	0.07	861.05	0.18	5.39E-01	8.04E-01	Y	1.2737486
MSTRG.271			VII	StringTie	transcript	89646	89978	332	+	YGL215W	+	CLG1	YGL214W	+	YGL214W	17.07	-1.14	684.87	0.48	5.39E-04	3.60E-03	19.55	-0.53	719.04	0.32	4.80E-02	1.20E-01	Y	31.09	-0.28	976.16	0.22	2.79E-02	1.78E-01	Y	1.1430739
MSTRG.481	CP_supported		XIII	StringTie	transcript	13433	14287	854	+	YML130C	-	ERO1	YML129C	-	COX14	36.05	-0.74	514.73	0.29	5.49E-04	3.63E-03	37.66	-1.28	471.48	0.29	4.97E-07	3.92E-06		72.69	-0.17	820.22	0.16	1.35E-01	4.54E-01	Y	1.277978179
MSTRG.348	CP_supported		VIII	StringTie	transcript	262100	262404	304	+	YHR079C	-	IRE1	YHR080C	-	LAM4	8.21	1.62	311.15	0.71	5.92E-04	3.87E-03	3.88	0.52	160.54	0.56	1.29E-01	2.48E-01	Y	5.60	0.01	179.94	0.23	8.90E-01	1.00E+00	Y	1.6184834
MSTRG.651	CP_supported		XVI	StringTie	transcript	286567	287456	889	+	YPL141C	-	FRK1	YPL140C	-	MKK2	5.06	1.98	66.69	0.96	6.32E-04	4.09E-03	15.74	2.59	233.36	0.48	1.03E-09	1.17E-08		2.32	0.02	24.65	0.25	7.96E-01	1.00E+00	Y	2.587619905
MSTRG.424			XI	StringTie	transcript	466293	469424	3131	+	YKR014C	-	YPT52	YKR016W	+	MIC60	246.66	-0.38	1125.21	0.12	6.82E-04	4.37E-03	268.18	-0.05	1207.65	0.11	6.24E-01	7.48E-01	Y	392.93	-0.06	1258.49	0.10	4.88E-01	7.76E-01	Y	0.3766118
MSTRG.303	CP_supported		VII	StringTie	transcript	731350	733147	1797	+	tN(GUU)G	+	tN(GUU)G	YGR121W-A	+	YGR121W-A	358.82	-0.39	2866.95	0.13	7.41E-04	4.70E-03	345.97	-0.17	2697.32	0.11	9.21E-02	1.93E-01	Y	652.08	0.09	3426.68	0.09	2.58E-01	5.88E-01	Y	0.3854288
MSTRG.287	CP_supported		VII	StringTie	transcript	420927	421385	458	+	YGL040C	-	HEM2	NA	NA	NA	7.08	1.59	182.04	0.73	7.51E-04	4.72E-03	3.74	-0.05	115.36	0.48	8.67E-01	9.17E-01	Y	6.77	0.07	141.89	0.23	4.38E-01	1.00E+00	Y	1.59453071
MSTRG.557			XIV	StringTie	transcript	623373	623730	357	-	YNL004W	+	HRB1	YNL003C	-	PET8	14.21	-1.11	435.15	0.49	8.00E-04	4.97E-03	14.09	-0.17	500.79	0.34	5.29E-01	6.73E-01	Y	21.59	-0.22	502.37	0.22	7.22E-02	3.24E-01	Y	1.1091478
MSTRG.562	CP_supported		XIV	StringTie	transcript	724491	726027	1536	+	YNR054C	-	ESF2	tL(UAA)N	-	tL(UAA)N	122.93	-0.44	1186.78	0.15	8.90E-04	5.43E-03	133.55	-0.64	1273.51	0.15	1.48E-05	9.70E-05		214.31	-0.35	1301.66	0.13	9.49E-04	1.93E-02		0.64001945
MSTRG.574			XV	StringTie	transcript	1898	2644	746	+	YOL165C	-	AAD15	YOL164W-A	+	YOL164W-A	5.54	-1.71	100.88	0.84	8.91E-04	5.43E-03	7.03	-0.26	131.54	0.41	3.83E-01	5.41E-01	Y	40.01	0.19	449.82	0.20	1.10E-01	4.04E-01	Y	1.7148736
MSTRG.197	CP_supported		V	StringTie	transcript	69294	69528	234	+	YEL045C	-	YEL045C	YEL044W	+	IES6	4.90	1.96	200.08	1.04	9.21E-04	5.56E-03	6.86	0.48	394.64	0.45	1.33E-01	2.53E-01	Y	5.25	-0.12	159.19	0.25	1.38E-01	1.00E+00	Y	1.95630014
MSTRG.498			XIII	StringTie	transcript	433201	434565	1364	-	YMR082C	-	YMR082C	YMR083W	+	ADH3	36.67	-0.71	346.06	0.30	9.48E-04	5.67E-03	30.77	-1.72	315.04	0.33	1.74E-09	1.94E-08		78.33	-0.38	558.12	0.18	3.29E-03	4.51E-02		1.723904575
MSTRG.14			I	StringTie	transcript	182056	182323	267	-	tL(CAA)A	+	tL(CAA)A	tS(AGA)A	-	tS(AGA)A	10.80	1.22	542.49	0.58	1.09E-03	6.48E-03	6.21	0.76	316.47	0.53	2.96E-02	7.82E-02		3.79	-0.01	138.53	0.24	8.67E-01	1.00E+00	Y	1.22236089
MSTRG.246			VI	StringTie	transcript	31498	32868	1370	+	YFL051C	-	YFL051C	YFL050C	-	ALR2	24.73	0.83	244.71	0.37	1.11E-03	6.51E-03	30.99	0.78	315.05	0.28	1.12E-03	4.79E-03		43.57	0.27	264.93	0.20	3.35E-02	2.04E-01	Y	0.82596609
MSTRG.266			VII	StringTie	transcript	10183	10921	738	+	YGL258W-A	+	YGL258W-A	YGL258W	+	VEL1	14.17	-1.00	251.55	0.47	1.27E-03	7.40E-03	18.85	-1.22	313.69	0.38	5.79E-05	3.45E-04		39.53	-0.35	563.66	0.21	7.48E-03	7.75E-02		1.219968939
MSTRG.671			XVI	StringTie	transcript	641680	642116	436	-	YPR034W	+	ARP7	YPR035W	+	GLN1	4.08	1.93	64.26	1.19	1.44E-03	8.27E-03	1.43	0.12	29.86	0.64	6.88E-01	1.00E+00	Y	1.82	0.02	41.95	0.25	7.52E-01	1.00E+00	Y	1.93284986
MSTRG.283		YGL096W_3UTR	VII	StringTie	transcript	326260	326618	358	+	YGL096W	+	TOS8	NA	NA	NA	45.35	-0.58	1667.92	0.24	1.49E-03	8.48E-03	107.18	1.13	3846.60	0.17	4.04E-12	6.15E-11		73.21	-0.10	1926.98	0.16	3.68E-01	6.65E-01	Y	1.127642669
MSTRG.417	CP_supported		XI	StringTie	transcript	306304	307069	765	-	YKL070W	+	YKL070W	YKL069W	+	YKL069W	262.09	-0.35	4867.52	0.12	1.57E-03	8.90E-03	314.73	-0.18	5896.38	0.12	1.08E-01	2.19E-01	Y	390.53	-0.10	5028.64	0.11	2.35E-01	5.67E-01	Y	0.3494855
MSTRG.358			VIII	StringTie	transcript	464173	465285	1112	-	YHR179W	+	OYE2	NA	NA	NA	68.56	0.49	823.66	0.19	1.71E-03	9.59E-03	63.68	0.04	813.26	0.18	8.29E-01	9.00E-01	Y	100.60	0.07	889.90	0.14	5.01E-01	7.87E-01	Y	0.49261743
MSTRG.282			VII	StringTie	transcript	323350	325052	1702	-	YGL097W	+	SRM1	YGL096W	+	TOS8	41.41	0.60	314.07	0.26	1.74E-03	9.65E-03	55.98	0.96	445.10	0.22	1.24E-06	9.44E-06		56.04	0.24	297.25	0.18	4.60E-02	2.55E-01	Y	0.957651166
MSTRG.118	CP_supported		IV	StringTie	transcript	968057	969746	1689	+	YDR255C	-	RMD5	YDR257C	-	RKM4	86.59	-0.46	740.99	0.18	1.76E-03	9.71E-03	85.05	-0.50	632.92	0.17	2.43E-03	9.30E-03		144.74	-0.14	819.74	0.14	1.75E-01	5.17E-01	Y	0.498317751
MSTRG.293			VII	StringTie	transcript	531305	531504	199	-	YGR023W	+	MTL1	tD(GUC)G1	+	tD(GUC)G1	13.50	-0.94	898.99	0.48	2.08E-03	1.13E-02	14.61	-0.95	780.89	0.39	1.67E-03	6.74E-03		21.40	-0.04	1020.89	0.19	6.91E-01	8.86E-01		0.954386634
MSTRG.596	CP_supported		XV	StringTie	transcript	348674	349093	419	+	NA	NA	NA	YOR011W	+	AUS1	7.51	-1.27	272.18	0.69	2.13E-03	1.15E-02	8.96	-0.66	280.59	0.44	3.89E-02	9.94E-02		10.38	-0.21	213.12	0.25	4.92E-02	2.65E-01		1.2717935
MSTRG.410	CP_supported		XI	StringTie	transcript	136369	137641	1272	+	YKL165C-A	-	YKL165C-A	YKL165C	-	MCD4	32.04	-0.65	409.51	0.30	2.17E-03	1.17E-02	40.60	-0.28	443.47	0.22	1.72E-01	3.05E-01		33.33	-0.20	254.52	0.20	1.05E-01	3.99E-01		0.6473455
MSTRG.682			XVI	StringTie	transcript	920840	922882	2042	-	YPR191W	+	QCR2	YPR193C	-	HPA2	81.82	0.49	566.25	0.20	2.33E-03	1.24E-02	96.14	0.34	595.24	0.17	3.56E-02	9.14E-02		206.28	0.56	874.85	0.14	2.05E-06	2.05E-04		0.5596675
MSTRG.30			II	StringTie	transcript	307280	308956	1676	+	snR161	-	snR161	YBR036C	-	CSG2	2421.62	-0.29	19580.49	0.10	2.40E-03	1.26E-02	1988.06	-0.41	16283.89	0.11	1.04E-04	5.73E-04		3001.62	-0.34	17059.14	0.10	2.22E-04	8.76E-03		0.407696609
MSTRG.296			VII	StringTie	transcript	609196	609521	325	-	YGR059W	+	SPR3	snR48	+	snR48	6.97	1.32	250.88	0.75	2.41E-03	1.26E-02	6.82	0.69	293.65	0.50	4.05E-02	1.02E-01		7.72	0.04	203.19	0.23	6.30E-01	1.00E+00		1.3194442
MSTRG.321	CP_supported		VII	StringTie	transcript	973826	974870	1044	+	YGR240C	-	PFK1	YGR241C	-	YAP1802	131.60	0.40	1808.80	0.15	2.44E-03	1.27E-02	257.35	1.32	3073.23	0.13	2.09E-25	8.06E-24		146.40	-0.09	1388.36	0.13	3.50E-01	6.54E-01		1.315015809
MSTRG.136		YDR508C_3UTR	IV	StringTie	transcript	1466234	1466452	218	-	YDR507C	-	GIN4	YDR508C	-	GNP1	1290.70	-0.30	80770.35	0.11	2.53E-03	1.30E-02	1051.05	-0.69	65716.35	0.11	7.46E-11	9.58E-10		2035.90	0.00	93092.53	0.08	9.97E-01	1.00E+00		0.689651649
MSTRG.25			II	StringTie	transcript	251148	252209	1061	+	YBR007C	-	DSF2	YBR008C	-	FLR1	15.80	0.87	177.98	0.45	2.66E-03	1.36E-02	18.92	0.57	207.49	0.32	3.25E-02	8.37E-02		17.97	0.13	158.82	0.21	2.37E-01	5.67E-01		0.86508561
MSTRG.278	CP_supported		VII	StringTie	transcript	190581	190888	307	-	YGL167C	-	PMR1	YGL166W	+	CUP2	786.23	-0.28	36672.82	0.10	2.69E-03	1.36E-02	776.07	-0.29	34228.74	0.09	1.93E-03	7.65E-03		1239.08	-0.08	39639.46	0.09	2.54E-01	5.84E-01		0.289530863
MSTRG.513	CP_supported		XIII	StringTie	transcript	731445	732135	690	+	YMR229C	-	RRP5	YMR230W	+	RPS10B	11.48	-1.03	185.49	0.56	2.72E-03	1.36E-02	12.09	-1.54	190.77	0.50	4.70E-05	2.85E-04		20.03	-0.15	259.33	0.21	1.85E-01	5.32E-01		1.539255669
MSTRG.656	CP_supported		XVI	StringTie	transcript	368727	369556	829	+	YPL095C	-	EEB1	YPL094C	-	SEC62	44.39	-0.55	653.25	0.25	2.86E-03	1.43E-02	43.72	-0.28	678.00	0.22	1.63E-01	2.92E-01		60.82	-0.01	698.57	0.15	9.05E-01	9.83E-01		0.5492109
MSTRG.623	CP_supported		XV	StringTie	transcript	908380	909161	781	-	YOR316C-A	-	YOR316C-A	YOR317W	+	FAA1	9.18	-1.06	131.84	0.60	3.16E-03	1.56E-02	10.88	-1.96	133.61	0.58	9.05E-06	6.11E-05		29.54	-0.63	280.28	0.34	1.12E-04	5.60E-03		1.962587373
MSTRG.318	CP_supported		VII	StringTie	transcript	942597	944894	2297	-	YGR223C	-	HSV2	YGR225W	+	AMA1	165.85	0.36	1054.62	0.14	3.49E-03	1.71E-02	201.22	0.45	1268.52	0.13	4.51E-04	2.14E-03		265.97	0.20	1067.48	0.12	3.85E-02	2.25E-01		0.45185994
MSTRG.144	CP_supported		IV	StringTie	transcript	1521095	1522648	1553	+	YDR541C	-	YDR541C	YDR542W	+	PAU10	30.72	0.60	263.64	0.29	3.94E-03	1.92E-02	34.61	0.33	335.12	0.24	1.21E-01	2.39E-01		48.63	0.15	299.70	0.18	1.87E-01	5.32E-01		0.59561166
MSTRG.252	CP_supported		VI	StringTie	transcript	97628	97966	338	-	YFL021W	+	GAT1	YFL020C	-	PAU5	19.66	-0.72	730.34	0.38	3.99E-03	1.93E-02	29.41	0.58	1286.81	0.26	1.17E-02	3.66E-02		23.07	0.02	650.31	0.19	8.32E-01	9.72E-01		0.7171797
MSTRG.657	CP_supported		XVI	StringTie	transcript	443172	444336	1164	-	YPL060C-A	-	YPL060C-A	YPL059W	+	GRX5	56.96	0.47	702.41	0.21	4.33E-03	2.08E-02	70.93	1.04	850.64	0.20	1.62E-08	1.58E-07		64.72	0.19	514.72	0.17	1.05E-01	3.99E-01		1.043804913
MSTRG.247	CP_supported		VI	StringTie	transcript	36193	36581	388	-	YFL050C	-	ALR2	YFL049W	+	SWP82	64.68	0.44	2429.52	0.19	4.86E-03	2.31E-02	78.19	0.45	2778.52	0.17	6.08E-03	2.10E-02		99.49	0.10	2429.03	0.14	3.40E-01	6.37E-01		0.446760486
MSTRG.242			VI	StringTie	transcript	19055	20556	1501	+	YFL055W	+	AGP3	YFL054C	-	AQY3	32.40	0.57	238.94	0.29	5.10E-03	2.41E-02	69.03	2.32	453.83	0.23	1.13E-24	3.89E-23		50.68	0.19	341.05	0.18	1.08E-01	4.00E-01		2.316117462
MSTRG.673			XVI	StringTie	transcript	678652	679629	977	-	YPR063C	-	YPR063C	YPR065W	+	ROX1	36.24	0.54	570.14	0.26	5.32E-03	2.50E-02	68.64	2.00	947.74	0.22	1.08E-21	3.36E-20		47.24	0.18	455.23	0.19	1.24E-01	4.29E-01		2.004596476
MSTRG.333			VII	StringTie	transcript	1080754	1081341	587	-	YGR294W	+	PAU12	YGR295C	-	COS6	18.26	-0.70	434.73	0.40	5.41E-03	2.52E-02	20.93	-0.88	438.23	0.33	1.10E-03	4.75E-03		42.11	-0.23	705.33	0.19	6.54E-02	3.12E-01		0.881900572
MSTRG.44			II	StringTie	transcript	554823	555250	427	.	YBR157C	-	ICS2	YBR158W	+	AMN1	164.93	0.34	5435.32	0.14	6.00E-03	2.77E-02	145.42	0.15	4684.05	0.14	2.57E-01	4.08E-01		198.93	0.23	4572.70	0.13	2.61E-02	1.71E-01		0.34160837
MSTRG.295			VII	StringTie	transcript	581918	582847	929	+	YGR043C	-	NQM1	YGR044C	-	RME1	41.07	0.90	421.74	0.57	6.03E-03	2.77E-02	31.19	0.26	484.99	0.26	2.49E-01	4.02E-01		35.00	-0.14	375.13	0.19	2.22E-01	5.60E-01		0.89917187
MSTRG.46	CP_supported		II	StringTie	transcript	601028	602266	1238	-	YBR186W	+	PCH2	YBR187W	+	GDT1	62.68	-0.44	668.31	0.20	6.46E-03	2.94E-02	57.98	-1.09	602.15	0.22	5.07E-08	4.61E-07		104.31	-0.29	833.59	0.15	1.38E-02	1.17E-01		1.094676391
MSTRG.47	CP_supported		II	StringTie	transcript	741856	742145	289	+	YBR268W	+	MRPL37	YBR269C	-	SDH8	11.46	0.81	486.82	0.51	6.57E-03	2.97E-02	17.82	0.79	667.62	0.35	5.19E-03	1.82E-02		8.85	-0.15	287.31	0.24	1.38E-01	1.00E+00		0.81120831
MSTRG.653			XVI	StringTie	transcript	324260	324684	424	+	YPL119C-A	-	YPL119C-A	NA	NA	NA	18.06	-0.66	616.84	0.38	6.74E-03	3.03E-02	16.47	-0.61	529.34	0.33	2.45E-02	6.67E-02		40.70	-0.10	970.79	0.18	3.65E-01	6.64E-01		0.6584905
MSTRG.312			VII	StringTie	transcript	788426	788963	537	-	YGR148C	-	RPL24B	YGR149W	+	GPC1	23.98	0.61	646.78	0.35	7.22E-03	3.20E-02	30.47	0.79	710.00	0.31	2.08E-03	8.09E-03		26.55	0.19	428.08	0.20	1.13E-01	4.10E-01		0.793269714
MSTRG.177			Mito	StringTie	transcript	43849	45184	1335	+	Q0105	+	COB	NA	NA	NA	252.57	-0.32	2629.91	0.13	7.24E-03	3.20E-02	248.81	-0.24	2468.82	0.14	8.74E-02	1.86E-01		599.88	0.02	4028.98	0.11	8.60E-01	9.77E-01		0.3160794
MSTRG.485		YML074C_3UTR	XIII	StringTie	transcript	119387	120085	698	-	YML075C	-	HMG1	YML074C	-	FPR3	91.31	-0.40	1796.50	0.18	7.43E-03	3.23E-02	120.47	-0.80	2183.66	0.16	1.34E-07	1.17E-06		198.28	-0.37	2789.04	0.14	1.17E-03	2.22E-02		0.798829942
MSTRG.336			VIII	StringTie	transcript	12837	13356	519	-	YHL045W	+	YHL045W	YHL044W	+	YHL044W	6.31	-1.04	128.42	0.74	7.45E-03	3.23E-02	4.84	-1.04	85.32	0.69	1.08E-02	3.41E-02		17.64	0.10	345.86	0.21	3.53E-01	6.55E-01		1.042082749
MSTRG.219	CP_supported		V	StringTie	transcript	313708	314400	692	-	YER076W-A	+	YER076W-A	YER077C	-	MRX1	33.97	0.53	643.35	0.28	7.37E-03	3.23E-02	36.41	0.73	826.09	0.25	1.19E-03	5.05E-03		37.42	-0.07	518.45	0.17	5.09E-01	7.89E-01		0.727375662
MSTRG.203			V	StringTie	transcript	152607	153212	605	+	NA	NA	NA	YER001W	+	MNN1	8.35	0.91	175.03	0.61	7.73E-03	3.30E-02	14.79	1.85	333.09	0.47	1.04E-06	8.02E-06		10.02	0.20	155.36	0.25	5.84E-02	2.97E-01		1.848850316
MSTRG.501	CP_supported		XIII	StringTie	transcript	480803	481048	245	+	tK(CUU)M	-	tK(CUU)M	NA	NA	NA	17.49	0.67	882.94	0.40	7.69E-03	3.30E-02	18.17	0.76	1031.07	0.33	4.66E-03	1.68E-02		27.79	0.15	994.93	0.20	1.94E-01	5.39E-01		0.764544967
MSTRG.484			XIII	StringTie	transcript	100129	101279	1150	+	YML083C	-	YML083C	YML082W	+	YML082W	23.31	0.59	294.59	0.34	8.42E-03	3.57E-02	25.01	0.61	278.63	0.31	1.90E-02	5.46E-02		38.34	0.28	321.66	0.20	2.62E-02	1.71E-01		0.612192298
MSTRG.552	CP_supported		XIV	StringTie	transcript	587898	588271	373	+	YNL024C	-	EFM6	NA	NA	NA	52.14	-0.44	2094.57	0.21	8.51E-03	3.59E-02	55.76	-0.52	2055.83	0.21	6.45E-03	2.21E-02		99.58	-0.27	2650.59	0.16	2.13E-02	1.58E-01		0.524770932
MSTRG.504	CP_supported		XIII	StringTie	transcript	535954	537575	1621	-	YMR132C	-	JLP2	YMR134W	+	ERG29	110.59	-0.35	949.35	0.15	8.69E-03	3.64E-02	105.29	-0.41	857.11	0.17	1.18E-02	3.67E-02		192.39	-0.01	1168.29	0.12	9.21E-01	9.91E-01		0.406222657
MSTRG.384	CP_supported		X	StringTie	transcript	337467	337813	346	+	YJL053W	+	PEP8	YJL052C-A	-	YJL052C-A	4.84	1.10	232.01	0.86	9.07E-03	3.77E-02	8.15	0.71	306.72	0.46	3.04E-02	7.99E-02		8.98	0.09	270.09	0.23	3.61E-01	1.00E+00		1.09628625
MSTRG.660	CP_supported		XVI	StringTie	transcript	482339	482857	518	-	YPL037C	-	EGD1	NA	NA	NA	38.01	0.48	993.12	0.25	9.28E-03	3.80E-02	32.84	0.54	922.00	0.26	1.84E-02	5.34E-02		60.53	0.46	1165.86	0.20	7.39E-04	1.56E-02		0.543810153
MSTRG.373	CP_supported		X	StringTie	transcript	27026	31121	4095	-	YJL214W	+	HXT8	YJL213W	+	YJL213W	76.74	0.40	265.24	0.18	9.32E-03	3.80E-02	84.05	0.34	265.36	0.17	3.17E-02	8.21E-02		217.05	0.29	457.15	0.16	1.59E-02	1.30E-01		0.39689722
MSTRG.431	CP_supported		XI	StringTie	transcript	642982	645878	2896	+	YKR101W	+	SIR1	YKR102W	+	FLO10	311.44	-0.27	1520.45	0.11	9.32E-03	3.80E-02	297.14	-0.21	1373.86	0.13	1.10E-01	2.22E-01		564.88	-0.03	1927.31	0.10	6.80E-01	8.82E-01		0.2720353
MSTRG.649			XVI	StringTie	transcript	238842	239151	309	+	YPL165C	-	SET6	YPL164C	-	MLH3	91.22	0.37	4041.01	0.17	1.04E-02	4.19E-02	110.17	0.72	4643.79	0.16	2.19E-06	1.61E-05		112.71	-0.07	3451.21	0.13	5.18E-01	7.96E-01		0.716268561
MSTRG.107			IV	StringTie	transcript	598208	600416	2208	-	YDR075W	+	PPH3	YDR077W	+	SED1	116.73	-0.34	766.00	0.15	1.10E-02	4.43E-02	95.41	-0.43	640.60	0.16	5.27E-03	1.84E-02		153.91	-0.06	695.57	0.12	5.39E-01	8.04E-01		0.43488304
MSTRG.352			VIII	StringTie	transcript	289106	289801	695	-	YHR092C	-	HXT4	YHR094C	-	HXT1	41.37	-0.45	788.85	0.24	1.20E-02	4.82E-02	81.84	1.16	1703.86	0.19	3.04E-11	4.23E-10		52.01	0.01	761.37	0.16	9.26E-01	9.91E-01		1.16240402
MSTRG.561	CP_supported	YNR051C_5UTR	XIV	StringTie	transcript	718587	719073	486	-	YNR051C	-	BRE5	YNR052C	-	POP2	427.44	-0.29	12581.91	0.12	1.23E-02	4.84E-02	429.39	-0.67	12116.90	0.11	7.71E-10	9.02E-09		641.95	-0.25	12626.70	0.10	4.12E-03	4.92E-02		0.672002914
MSTRG.154	CP_supported		IX	StringTie	transcript	222839	226539	3700	+	YIL074C	-	SER33	YIL072W	+	HOP1	264.45	-0.27	981.36	0.12	1.23E-02	4.84E-02	281.54	-0.36	1097.66	0.12	1.68E-03	6.74E-03		454.72	-0.24	1200.38	0.11	9.20E-03	8.42E-02		0.356724309
MSTRG.458	CP_supported		XII	StringTie	transcript	460456	460656	200	-	RDN5-1	+	RDN5-1	ETS2-2	-	ETS2-2	17.80	-0.63	888.30	0.41	1.22E-02	4.84E-02	19.29	-2.70	638.61	0.49	6.97E-10	8.30E-09		40.06	-0.29	1484.03	0.22	2.34E-02	1.65E-01		2.700345355
MSTRG.140			IV	StringTie	transcript	1506901	1507403	502	+	YDR535C	-	YDR535C	YDR536W	+	STL1	12.16	0.66	299.38	0.46	1.39E-02	5.41E-02	9.26	0.39	265.53	0.40	1.95E-01	3.34E-01		6.17	0.10	118.91	0.24	2.47E-01	1.00E+00		0.6630662
MSTRG.599	CP_supported		XV	StringTie	transcript	385261	386479	1218	+	YOR029W	+	YOR029W	YOR030W	+	DFG16	41.64	0.43	483.43	0.23	1.41E-02	5.46E-02	48.08	0.46	539.56	0.21	1.64E-02	4.82E-02		72.61	-0.02	615.28	0.15	8.74E-01	9.81E-01		0.45933809
MSTRG.132			IV	StringTie	transcript	1273914	1274299	385	-	YDR402C	-	DIT2	YDR403W	+	DIT1	7.15	-0.80	273.37	0.63	1.49E-02	5.76E-02	8.37	0.08	243.95	0.40	7.99E-01	8.77E-01		23.80	0.16	570.32	0.20	1.75E-01	5.17E-01		0.8022064
MSTRG.406	CP_supported		XI	StringTie	transcript	18110	21654	3544	+	YKL218C	-	SRY1	YKL217W	+	JEN1	272.60	0.26	1069.44	0.12	1.61E-02	6.17E-02	257.90	0.01	995.58	0.12	9.17E-01	9.51E-01		482.88	0.11	1356.94	0.11	2.10E-01	5.49E-01		0.25928373
MSTRG.87	CP_supported	YDL160C_5UTR	IV	StringTie	transcript	171962	172204	242	-	YDL160C	-	DHH1	YDL159W	+	STE7	845.19	-0.22	50516.17	0.09	1.66E-02	6.29E-02	783.11	-0.32	44340.23	0.11	3.29E-03	1.21E-02		1054.23	-0.25	42118.45	0.10	3.84E-03	4.71E-02		0.315228998
MSTRG.216			V	StringTie	transcript	287138	287595	457	+	YER065C	-	ICL1	tS(UGA)E	-	tS(UGA)E	14.29	-0.58	437.32	0.40	1.67E-02	6.29E-02	8.47	-0.95	268.18	0.51	6.63E-03	2.25E-02		36.52	0.27	659.05	0.20	3.01E-02	1.88E-01		0.952928158
